City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,sao joao da barra,-21.6403,-41.0511,24.62,95,0,4.4,BR,1737603590
202,puerto armuelles,8.2833,-82.8667,26.72,69,6,0.45,PA,1737603592
203,nanjing,32.0617,118.7778,13.97,63,83,4.07,CN,1737603593
204,usinsk,65.9939,57.5281,-21.31,97,94,7.68,RU,1737603594
205,el porvenir,13.7617,-87.3458,21.9,73,0,2.49,HN,1737603595
206,kota bharu,6.1333,102.2386,27.19,83,20,2.24,MY,1737603596
207,anna regina,7.2644,-58.5077,24.33,88,63,3.34,GY,1737603598
208,rabaul,-4.1967,152.1721,29.9,68,98,4.11,PG,1737603599
209,arica,-18.475,-70.3042,21.13,78,0,3.09,CL,1737603326
210,dudinka,69.4058,86.1778,-33.27,86,7,9.49,RU,1737603601
211,bata,1.8639,9.7658,22.92,100,40,1.03,GQ,1737603602
212,mount isa,-20.7333,139.5,39.87,29,95,3.6,AU,1737603605
213,port saint john's,-31.6229,29.5448,22.53,87,41,5.15,ZA,1737603606
214,karratha,-20.7377,116.8463,35.0,42,14,4.62,AU,1737603607
215,cambridge,43.3601,-80.3127,-11.61,78,0,2.57,CA,1737603603
216,panaba,21.2833,-88.2667,18.43,80,5,3.07,MX,1737603609
217,codrington,-38.2667,141.9667,13.95,79,100,6.13,AU,1737603611
218,shizuishan,39.2333,106.7694,1.52,33,33,3.04,CN,1737603612
219,port alfred,-33.5906,26.891,21.94,91,97,6.37,ZA,1737603613
220,suoyarvi,62.0833,32.35,-0.38,98,100,3.47,RU,1737603614
221,khovd,48.0056,91.6419,-10.53,79,68,0.42,MN,1737603615
222,nikolayevsk-on-amure,53.1406,140.73,-9.46,85,18,1.87,RU,1737603616
223,ust-nera,64.5667,143.2,-27.95,100,100,1.02,RU,1737603618
224,clodomira,-27.5744,-64.1311,25.84,63,48,3.67,AR,1737603619
225,petrov val,50.1434,45.2096,-8.78,51,100,6.47,RU,1737603620
226,st. john's,47.5649,-52.7093,-10.02,71,75,7.2,CA,1737603472
227,new norfolk,-42.7826,147.0587,16.62,49,100,0.97,AU,1737603622
228,tazovsky,67.4667,78.7,-28.73,97,56,6.51,RU,1737603625
229,chibougamau,49.9168,-74.3659,-18.21,85,100,4.12,CA,1737603626
230,mahanoro,-19.9,48.8,24.86,88,93,1.69,MG,1737603627
231,oliver,49.1831,-119.5524,-2.05,80,88,0.51,CA,1737603523
